step,trees,fires,seedling,ignition,extinction
0,693040,10201,0.0517,0.1643,0.01
3,871663,10568,0.0517,0.1643,0.01
6,950489,11039,0.0517,0.1643,0.01
9,972846,11680,0.0517,0.1643,0.01
12,982904,12396,0.0517,0.1643,0.01
15,981471,13134,0.0517,0.1643,0.01
18,984100,13854,0.0517,0.1643,0.01
21,980541,14573,0.0517,0.1643,0.01
24,982524,15311,0.0517,0.1643,0.01
27,978717,16048,0.0517,0.1643,0.01
30,980594,16748,0.0517,0.1643,0.01
33,976773,17425,0.0517,0.1643,0.01
36,978555,18111,0.0517,0.1643,0.01
39,974615,18856,0.0517,0.1643,0.01
42,976336,19642,0.0517,0.1643,0.01
45,972409,20311,0.047,0.1643,0.01
48,974113,21008,0.047,0.1643,0.01
51,970127,21625,0.047,0.1643,0.01
54,971832,22244,0.047,0.1643,0.01
57,967770,22843,0.047,0.1643,0.01
60,969372,23449,0.0399,0.1643,0.01
63,965332,23983,0.0329,0.1643,0.01
66,966950,24482,0.0259,0.1643,0.01
69,962798,25013,0.0259,0.1643,0.01
72,964283,25606,0.0259,0.1643,0.01
75,960059,26175,0.0259,0.1643,0.01
78,961522,26695,0.0259,0.1643,0.01
81,957317,27123,0.0259,0.1643,0.01
84,958723,27625,0.0259,0.1643,0.01
87,954486,28012,0.0259,0.1643,0.01
90,955844,28419,0.0259,0.1643,0.01
93,951551,28764,0.0259,0.1643,0.01
96,952863,29140,0.0259,0.1643,0.01
99,948492,29439,0.0259,0.1643,0.01
102,949829,29733,0.0259,0.1572,0.01
105,945506,29944,0.0259,0.1596,0.01
108,946763,30284,0.0259,0.176,0.01
111,942174,30767,0.0259,0.1901,0.01
114,943116,31372,0.0259,0.1971,0.01
117,938319,32011,0.0259,0.2088,0.01
120,939101,32712,0.0259,0.2229,0.01
123,934112,33426,0.0259,0.237,0.01
126,934665,34262,0.0259,0.237,0.01
129,929464,35137,0.0259,0.237,0.01
132,929877,36050,0.0259,0.2534,0.01
135,924534,37022,0.0259,0.2604,0.01
138,924847,37916,0.0259,0.2628,0.01
141,919412,38903,0.0259,0.2651,0.01
144,919731,39787,0.0259,0.2651,0.01
147,914531,40531,0.0259,0.2651,0.01
150,915323,40911,0.0259,0.2651,0.01
153,910616,41042,0.0259,0.2651,0.01
156,911636,41116,0.0259,0.2722,0.01
159,906925,41316,0.0259,0.3121,0.01
162,907785,41551,0.0259,0.3332,0.01
165,902931,41808,0.0259,0.3519,0.01
168,903785,42061,0.0259,0.3519,0.01
171,899057,42199,0.0259,0.3519,0.01
